"","Player_Id","Player_Name","MVPI_17","Batting_index_17","Bowling_index_17","All_rounder_index_17","MVPI_17_16","Batting_index_17_16","Bowling_index_17_16","All_rounder_index_17_16","MVPI_17_16_15","Batting_index_17_16_15","Bowling_index_17_16_15","All_rounder_index_17_16_15","Batting_index_17_rank","Bowling_index_17_rank","All_rounder_index_17_rank","Batting_index_17_16_rank","Bowling_index_17_16_rank","All_rounder_index_17_16_rank","Batting_index_17_16_15_rank","Bowling_index_17_16_15_rank","All_rounder_index_17_16_15_rank"
"71",336,"CA Lynn",987.800350765306,22.1173327173493,0,0.0214439288365331,908.269076206073,20.916292777803,0,0.0177279632173543,891.047827623138,20.626175168394,0,0.0171891004492741,2,117,17,3,119.5,34,6,119.5,43
"72",339,"KK Nair",494.732896266278,8.95262524072182,0,0.00868004569156732,1142.48336696359,11.4911668923401,0,0.00973953588028151,1367.96550160165,10.0798116887778,0,0.008400146620187,56,117,108,39,119.5,107,53,119.5,120
"73",344,"AS Rajpoot",10.2468101218943,1.66005241468797,11.4620445831983,0.0112945394285718,10.319374300885,1.76350072708399,11.5931696310128,0.0110052834051239,10.3555914162971,1.7774379995879,17.2999827673499,0.0108829754179277,107,43,79,116,53,90,120,60,93
"74",345,"M Vohra",440.525745470063,9.72868059662279,0,0.00943247257946672,687.180336423517,10.3445850282887,0,0.00876773072687687,735.781359192397,8.48369130052388,0,0.00706999823063622,49,117,100,51,119.5,114,72,119.5,127
"75",346,"JD Unadkat",76.1300192672869,0.282633068538956,6.74652730567196,0.00597460953434975,77.9488585796034,0.276104408135698,7.25228679708896,0.00618351894130983,78.3471739464401,0.286486130922938,10.1887493892904,0.00577585114986118,136,77,129,140,83,134,141,86,134
"76",347,"Mohammed Shami",59.8431418790674,3.85452438075201,18.1333066026036,0.0190591817633578,64.5459815687254,4.17416393290216,18.0484976245871,0.018344189447655,64.3289642160201,4.15510768067163,27.1494265223624,0.0182171459138492,89,16,26,99,12,29,103,12,32
"77",350,"CH Morris",384.107729090486,11.8286575393254,8.42676234606068,0.0185888339065097,1024.65327445679,19.6428181725501,9.74523769531375,0.0246432325173082,1281.86946584368,20.610263195841,14.8489172572938,0.0252455252103626,28,69,31,6,72,12,7,73,8
"78",351,"SV Samson",816.25918031968,11.2957518279577,0,0.0109518313735841,1250.89673689653,11.6598552034636,0,0.00988251055588791,1529.15284290302,10.4737243494685,0,0.00872841903315617,36,117,86,38,119.5,105,48,119.5,115
"79",357,"MG Johnson",16.6556207642542,0.5500438727411,9.46153937839185,0.00852796962124611,43.0346469290878,5.08876004606073,11.7397573736628,0.013943919100165,85.3736634235517,3.81916176864954,18.9299878447298,0.013470304151855,123,63,111,95,49,62,107,46,64
"80",364,"MM Sharma",79.0336855430095,3.43943249997954,11.7601566180375,0.0132716372713523,141.545288954812,3.89428962751957,12.1768990650201,0.0132901396967991,209.194556903052,4.22912095292685,18.5151756818404,0.0135865183320229,93,40,58,103,44,69,102,50,63
"81",367,"Sandeep Sharma",37.5959656018457,0.447220393202451,9.77311634996915,0.00869154853915746,72.7613987804045,0.405363945347116,10.2347281481499,0.0087397572122523,133.573129127298,9.42009680611126,15.6226738722845,0.0163405497443724,127,59,107,135,70,115,61,68,46
"82",368,"S Kaul",40.3689894970528,0.172908185429959,8.25666854058698,0.00714424243941043,41.4275365863632,0.17991126416441,8.82886705436918,0.00739535562856887,41.6220253772058,0.188289448722832,12.5786389593935,0.00699280973149486,137.5,70,127,141,78,126,142,83,129
"83",369,"Sachin Baby",12.836462710084,2.10826143555116,0,0.00204407144254348,245.077871111416,8.98167164662232,3.32091408037447,0.0103369224405658,242.27676154238,8.87393438491734,4.48760693564979,0.00983401497343141,102,117,139,68,92,97,68,89,106
